claim_id,customer_id,age,gender,vehicle_age,vehicle_type,policy_type,premium_amount,claim_amount,accident_type,accident_severity,incident_state,days_since_policy,number_of_previous_claims,police_report,witness_present,medical_cost,repair_cost,claim_status,fraud_reported
CLM100001,CUST27271,31,Female,3,Sedan,Third-Party,14319.45,18926.73,Natural Disaster,Minor,Delhi,23,3,Yes,No,5170.24,6120.18,Approved,0
CLM100002,CUST22559,49,Female,0,Van,Third-Party,12999.36,15210.01,Collision,Minor,Delhi,192,5,No,Yes,3380.5,6147.38,Approved,0
CLM100003,CUST26236,25,Male,7,Sedan,Comprehensive,11272.1,51771.53,Rollover,Moderate,Punjab,80,2,Yes,Yes,7803.57,32132.7,Under Review,0
CLM100004,CUST27870,18,Female,7,Truck,Comprehensive,14073.67,102486.59,Vandalism,Severe,Maharashtra,373,0,Yes,Yes,17545.22,58014.61,Rejected,0
CLM100005,CUST26185,27,Male,1,SUV,Comprehensive,11496.05,26229.96,Collision,Minor,Delhi,405,3,No,No,9258.57,11043.24,Approved,0
CLM100006,CUST21758,50,Male,1,SUV,Zero-Depreciation,8361.78,25261.2,Collision,Minor,Tamil Nadu,1061,2,No,Yes,1762.85,7427.32,Approved,0
CLM100007,CUST25865,27,Male,2,Sedan,Third-Party,9720.11,23619.93,Rollover,Minor,Rajasthan,164,4,No,Yes,0.0,8596.15,Approved,1
CLM100008,CUST28165,67,Female,9,Sedan,Third-Party,13529.19,27837.92,Fire,Minor,Maharashtra,110,1,No,Yes,5347.43,7964.87,Under Review,1
CLM100009,CUST22512,39,Male,0,Hatchback,Zero-Depreciation,9734.36,52027.3,Collision,Moderate,West Bengal,171,0,No,Yes,1711.75,31265.06,Approved,0
CLM100010,CUST22050,44,Male,0,Motorcycle,Standalone,5519.81,116292.62,Fire,Severe,Uttar Pradesh,171,2,No,No,16172.29,29308.6,Approved,0
CLM100011,CUST22870,39,Female,4,Sedan,Third-Party,11929.28,34811.46,Fire,Moderate,Maharashtra,548,1,Yes,Yes,5881.55,22333.54,Approved,0
CLM100012,CUST27023,48,Female,7,Sedan,Comprehensive,18659.32,251757.6,Rollover,Total Loss,Gujarat,17,5,No,No,17424.52,120570.99,Pending,1
CLM100013,CUST20981,30,Male,0,Hatchback,Standalone,8339.16,45240.65,Theft,Moderate,Uttar Pradesh,476,1,Yes,Yes,0.0,13782.5,Under Review,0
CLM100014,CUST21842,43,Male,3,Sedan,Third-Party,6675.3,118068.28,Rollover,Severe,West Bengal,29,0,Yes,No,10199.47,36839.27,Pending,1
CLM100015,CUST27510,42,Male,2,Truck,Third-Party,3538.59,24153.44,Vandalism,Minor,Delhi,390,0,No,No,4768.3,13720.95,Approved,1
CLM100016,CUST28309,36,Female,7,Hatchback,Comprehensive,10495.89,55757.3,Collision,Moderate,Gujarat,115,1,No,Yes,9621.85,15003.53,Rejected,0
CLM100017,CUST27254,43,Female,0,Truck,Zero-Depreciation,15485.85,26757.74,Vandalism,Minor,Punjab,170,1,No,No,6023.74,14009.96,Rejected,0
CLM100018,CUST26834,49,Male,4,SUV,Comprehensive,11316.97,28764.16,Natural Disaster,Minor,Karnataka,1299,3,Yes,No,0.0,15033.46,Approved,0
CLM100019,CUST23975,42,Male,11,Sedan,Comprehensive,8881.91,136715.32,Vandalism,Severe,Delhi,1371,1,No,Yes,12633.71,85078.34,Under Review,0
CLM100020,CUST24969,32,Female,9,SUV,Zero-Depreciation,15068.79,114868.46,Collision,Severe,Telangana,197,0,Yes,No,22649.27,49322.01,Approved,0
CLM100021,CUST25589,47,Male,0,Motorcycle,Standalone,15001.75,125438.28,Fire,Severe,Karnataka,2201,0,No,No,15330.92,52738.84,Approved,1
CLM100022,CUST26173,35,Male,1,Hatchback,Zero-Depreciation,10571.84,29014.72,Natural Disaster,Minor,Delhi,953,1,No,No,,12692.9,Approved,0
CLM100023,CUST23073,24,Male,1,Sedan,Zero-Depreciation,15427.07,190046.31,Natural Disaster,Total Loss,Gujarat,101,4,Yes,No,16140.7,53246.0,Approved,0
CLM100024,CUST28054,26,Male,9,Sedan,Third-Party,21854.11,17235.8,Theft,Minor,Karnataka,129,0,Yes,Yes,1020.43,6237.73,Approved,0
CLM100025,CUST20925,36,Male,3,SUV,Standalone,14920.02,58053.97,Collision,Severe,Karnataka,804,0,No,Yes,20415.49,34068.83,Under Review,0
CLM100026,CUST28176,27,Male,8,Truck,Standalone,12023.6,32405.6,Theft,Minor,Gujarat,586,4,Yes,Yes,0.0,16808.15,Rejected,0
CLM100027,CUST27240,37,Female,5,SUV,Zero-Depreciation,10082.85,138995.95,Rollover,Severe,Maharashtra,321,1,Yes,Yes,20474.53,46589.45,Approved,0
CLM100028,CUST21332,55,Male,2,Truck,Comprehensive,16416.96,63636.86,Collision,Moderate,Tamil Nadu,1194,0,Yes,No,7490.71,22022.06,Approved,0
CLM100029,CUST27351,18,Female,4,Sedan,Third-Party,18749.5,84285.73,Vandalism,Total Loss,Punjab,908,1,Yes,No,9793.59,39570.98,Approved,1
CLM100030,CUST27241,34,Female,6,Hatchback,Third-Party,11494.52,160097.98,Vandalism,Total Loss,Rajasthan,656,2,Yes,No,21579.87,42373.66,Approved,0
CLM100031,CUST21647,43,Female,0,SUV,Comprehensive,14929.79,23428.64,Vandalism,Minor,West Bengal,111,0,Yes,Yes,1596.84,11419.99,Rejected,0
CLM100032,CUST24207,55,Female,3,Truck,Comprehensive,10253.69,16722.38,Theft,Minor,Uttar Pradesh,180,1,Yes,Yes,1167.56,5255.38,Approved,0
CLM100033,CUST23736,18,Female,20,Motorcycle,Comprehensive,15080.89,28333.23,Rollover,Minor,Rajasthan,997,0,No,No,10132.45,16587.21,Approved,0
CLM100034,CUST22049,28,Female,5,Sedan,Comprehensive,11109.17,76383.59,Theft,Moderate,Punjab,360,0,No,Yes,6342.77,42323.47,Rejected,0
CLM100035,CUST23491,44,Female,5,SUV,Standalone,11086.3,34827.89,Fire,Minor,Rajasthan,1881,0,No,Yes,4989.17,19845.45,Under Review,0
CLM100036,CUST24228,29,Male,8,SUV,Zero-Depreciation,3000.0,14112.36,Collision,Minor,Maharashtra,248,0,Yes,Yes,3968.06,5964.04,Approved,0
CLM100037,CUST25568,58,Male,6,Sedan,Third-Party,11854.51,28482.29,Rollover,Minor,Karnataka,114,2,No,No,,16764.13,Approved,1
CLM100038,CUST22372,32,Female,5,Sedan,Comprehensive,19677.74,110013.91,Rollover,Severe,Uttar Pradesh,365,2,Yes,Yes,18047.68,33625.36,Approved,0
CLM100039,CUST20828,27,Female,4,Motorcycle,Comprehensive,12920.75,20797.15,Theft,Minor,Delhi,66,1,No,No,6124.29,13392.04,Under Review,0
CLM100040,CUST22709,51,Male,0,SUV,Zero-Depreciation,15835.11,17784.01,Theft,Moderate,Maharashtra,1009,0,Yes,Yes,4886.75,5623.4,Approved,0
